Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
David de Gea\7ba6d84e,es ESP,GK,31-178,36.0,3,0.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bruno Fernandes\507c7bdf,pt POR,MF,27-238,32.6,136,4.18,106,17,3,5,2,3,10,0.31,8,0,1,1,0,0,Matches
Harry Maguire\d8931174,eng ENG,DF,29-060,26.7,19,0.71,11,2,1,3,1,1,1,0.04,1,0,0,0,0,0,Matches
Cristiano Ronaldo\dea698d9,pt POR,FW,37-088,26.3,75,2.85,55,0,9,5,5,1,9,0.34,4,0,2,1,2,0,Matches
Scott McTominay\d93c2511,sct SCO,MF,25-147,24.5,43,1.75,35,0,3,1,2,2,6,0.24,4,0,0,1,0,1,Matches
Victor Lindelöf\f5deef4c,se SWE,DF,27-291,24.2,10,0.41,10,0,0,0,0,0,3,0.12,3,0,0,0,0,0,Matches
Fred\b853e0ad,br BRA,MF,29-060,21.2,54,2.55,44,0,1,1,4,4,8,0.38,6,0,0,0,1,1,Matches
Jadon Sancho\dbf053da,eng ENG,FWMF,22-040,21.1,82,3.88,67,3,9,2,1,0,8,0.38,6,0,2,0,0,0,Matches
Aaron Wan-Bissaka\9e525177,eng ENG,DF,24-159,19.9,31,1.56,25,0,3,1,1,1,1,0.05,1,0,0,0,0,0,Matches
Raphaël Varane\9f8e9423,fr FRA,DF,29-009,19.3,10,0.52,9,0,0,0,0,1,2,0.10,2,0,0,0,0,0,Matches
Luke Shaw\9c94165b,eng ENG,DF,26-296,17.8,64,3.60,41,21,0,0,0,2,6,0.34,5,1,0,0,0,0,Matches
Diogo Dalot\d9565625,pt POR,DF,23-047,18.1,35,1.93,31,1,2,0,1,0,5,0.28,5,0,0,0,0,0,Matches
Alex Telles\e73c9bb2,br BRA,DF,29-140,16.4,39,2.37,22,15,0,1,1,0,5,0.30,0,4,0,0,1,0,Matches
Paul Pogba\867239d3,fr FRA,MFFW,29-050,15.0,51,3.40,40,1,4,1,5,0,11,0.73,10,1,0,0,0,0,Matches
Mason Greenwood\58eee997,eng ENG,FWMF,20-215,14.1,44,3.12,37,0,4,1,2,0,7,0.50,6,0,0,1,0,0,Matches
Nemanja Matić\eb7822d7,rs SRB,MF,33-276,14.9,27,1.82,24,0,0,0,1,2,5,0.34,5,0,0,0,0,0,Matches
Marcus Rashford\a1d5bd30,eng ENG,FWMF,24-185,13.7,29,2.11,18,0,4,2,5,0,3,0.22,3,0,0,0,0,0,Matches
Anthony Elanga\2fba6108,se SWE,FW,20-007,12.0,17,1.42,8,0,3,0,4,2,5,0.42,2,0,1,0,1,1,Matches
Edinson Cavani\527f063d,uy URU,FW,35-079,7.0,7,1.00,5,0,0,2,0,0,2,0.29,1,0,0,1,0,0,Matches
Eric Bailly\a1232f4e,ci CIV,DF,28-022,2.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jesse Lingard\810e3c74,eng ENG,FWMF,29-140,4.1,15,3.68,12,0,0,2,1,0,1,0.25,0,0,0,1,0,0,Matches
Anthony Martial\8b788c01,fr FRA,FW,26-150,2.4,3,1.27,3,0,0,0,0,0,2,0.85,2,0,0,0,0,0,Matches
Phil Jones\def899bd,eng ENG,DF,30-072,1.8,2,1.10,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Daniel James\c931d9f9,wls WAL,FW,24-175,1.4,3,2.14,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Juan Mata\29733c72,es ESP,MF,34-006,1.5,4,2.63,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Donny van de Beek\50dc94ce,nl NED,MF,25-016,0.8,5,6.00,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hannibal Mejbri\ca22ccb0,tn TUN,FW,19-103,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alejandro Garnacho\7aa8adfe,es ESP,FW,17-307,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,28.0,36.0,809,22.47,618,60,47,28,37,19,100,2.78,74,6,6,6,5,3,
Opponent Total,,,27.7,36.0,722,20.06,501,67,47,42,42,23,76,2.11,54,3,5,6,4,4,