Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
David de Gea\7ba6d84e,es ESP,GK,31-178,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bruno Fernandes\507c7bdf,pt POR,MF,27-238,32.6,10,80,26,32.5,2.46,0.80,0.13,0.38,21.0,5,0,2,9.3,7.8,0.10,+0.7,+2.2,Matches
Harry Maguire\d8931174,eng ENG,DF,29-060,26.7,1,21,9,42.9,0.79,0.34,0.05,0.11,12.1,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
Cristiano Ronaldo\dea698d9,pt POR,FW,37-088,26.3,18,103,39,37.9,3.92,1.48,0.15,0.38,14.7,7,3,3,16.2,13.9,0.14,+1.8,+1.1,Matches
Scott McTominay\d93c2511,sct SCO,MF,25-147,24.5,1,25,6,24.0,1.02,0.24,0.04,0.17,20.1,0,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
Victor Lindelöf\f5deef4c,se SWE,DF,27-291,24.2,0,4,2,50.0,0.17,0.08,0.00,0.00,6.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Fred\b853e0ad,br BRA,MF,29-060,21.2,4,15,9,60.0,0.71,0.42,0.27,0.44,20.2,0,0,0,1.5,1.5,0.10,+2.5,+2.5,Matches
Jadon Sancho\dbf053da,eng ENG,FWMF,22-040,21.1,3,26,9,34.6,1.23,0.43,0.12,0.33,14.6,0,0,0,3.3,3.3,0.13,-0.3,-0.3,Matches
Aaron Wan-Bissaka\9e525177,eng ENG,DF,24-159,19.9,0,5,1,20.0,0.25,0.05,0.00,0.00,13.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Raphaël Varane\9f8e9423,fr FRA,DF,29-009,19.3,1,9,1,11.1,0.47,0.05,0.11,1.00,8.3,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Luke Shaw\9c94165b,eng ENG,DF,26-296,17.8,0,6,1,16.7,0.34,0.06,0.00,0.00,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Diogo Dalot\d9565625,pt POR,DF,23-047,18.1,0,12,4,33.3,0.66,0.22,0.00,0.00,20.1,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Alex Telles\e73c9bb2,br BRA,DF,29-140,16.4,0,9,3,33.3,0.55,0.18,0.00,0.00,22.5,4,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Paul Pogba\867239d3,fr FRA,MFFW,29-050,15.0,1,32,8,25.0,2.13,0.53,0.03,0.13,17.3,0,0,0,2.4,2.4,0.08,-1.4,-1.4,Matches
Mason Greenwood\58eee997,eng ENG,FWMF,20-215,14.1,5,48,18,37.5,3.40,1.27,0.10,0.28,18.7,0,0,0,4.4,4.4,0.09,+0.6,+0.6,Matches
Nemanja Matić\eb7822d7,rs SRB,MF,33-276,14.9,0,5,1,20.0,0.34,0.07,0.00,0.00,24.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Marcus Rashford\a1d5bd30,eng ENG,FWMF,24-185,13.7,4,22,12,54.5,1.60,0.87,0.18,0.33,17.5,1,0,0,2.4,2.4,0.11,+1.6,+1.6,Matches
Anthony Elanga\2fba6108,se SWE,FW,20-007,12.0,2,20,7,35.0,1.67,0.58,0.10,0.29,15.4,0,0,0,2.9,2.9,0.14,-0.9,-0.9,Matches
Edinson Cavani\527f063d,uy URU,FW,35-079,7.0,2,16,4,25.0,2.28,0.57,0.13,0.50,11.6,0,0,0,3.1,3.1,0.19,-1.1,-1.1,Matches
Eric Bailly\a1232f4e,ci CIV,DF,28-022,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jesse Lingard\810e3c74,eng ENG,FWMF,29-140,4.1,2,8,6,75.0,1.96,1.47,0.25,0.33,17.7,0,0,0,0.7,0.7,0.08,+1.3,+1.3,Matches
Anthony Martial\8b788c01,fr FRA,FW,26-150,2.4,1,5,2,40.0,2.12,0.85,0.20,0.50,12.3,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
Phil Jones\def899bd,eng ENG,DF,30-072,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel James\c931d9f9,wls WAL,FW,24-175,1.4,0,4,1,25.0,2.86,0.71,0.00,0.00,17.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Juan Mata\29733c72,es ESP,MF,34-006,1.5,0,3,0,0.0,1.97,0.00,0.00,,14.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Donny van de Beek\50dc94ce,nl NED,MF,25-016,0.8,1,2,1,50.0,2.40,1.20,0.50,1.00,9.3,0,0,0,0.7,0.7,0.36,+0.3,+0.3,Matches
Hannibal Mejbri\ca22ccb0,tn TUN,FW,19-103,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alejandro Garnacho\7aa8adfe,es ESP,FW,17-307,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.0,36.0,56,480,170,35.4,13.33,4.72,0.11,0.31,17.0,17,3,5,53.1,49.3,0.10,+2.9,+3.7,
Opponent Total,,,27.7,36.0,49,484,169,34.9,13.44,4.69,0.10,0.27,17.1,14,3,5,51.5,47.7,0.10,-2.5,-1.7,