Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
David de Gea\7ba6d84e,es ESP,GK,31-178,36.0,613,872,70.3,17608,10250,113,114,99.1,276,284,97.2,219,467,46.9,0,0.0,0.0,0,1,0,0,0,Matches
Bruno Fernandes\507c7bdf,pt POR,MF,27-238,32.6,1421,1890,75.2,27367,7978,640,736,87.0,530,655,80.9,225,417,54.0,6,8.3,-2.3,86,143,84,15,186,Matches
Harry Maguire\d8931174,eng ENG,DF,29-060,26.7,1244,1426,87.2,28110,8452,333,363,91.7,641,698,91.8,262,348,75.3,0,0.2,-0.2,3,117,2,0,82,Matches
Cristiano Ronaldo\dea698d9,pt POR,FW,37-088,26.3,694,853,81.4,9650,1428,430,496,86.7,208,255,81.6,27,38,71.1,3,3.2,-0.2,24,37,16,0,49,Matches
Scott McTominay\d93c2511,sct SCO,MF,25-147,24.5,973,1139,85.4,18419,4714,399,461,86.6,423,476,88.9,130,159,81.8,1,1.6,-0.6,18,96,9,1,92,Matches
Victor Lindelöf\f5deef4c,se SWE,DF,27-291,24.2,1076,1197,89.9,22729,6557,321,342,93.9,578,612,94.4,168,223,75.3,2,0.5,+1.5,3,66,8,0,55,Matches
Fred\b853e0ad,br BRA,MF,29-060,21.2,1042,1224,85.1,19358,4766,446,505,88.3,442,496,89.1,134,169,79.3,4,1.9,+2.1,25,108,11,1,96,Matches
Jadon Sancho\dbf053da,eng ENG,FWMF,22-040,21.1,810,982,82.5,11532,2687,500,576,86.8,256,308,83.1,32,49,65.3,3,4.2,-1.2,41,27,36,6,72,Matches
Aaron Wan-Bissaka\9e525177,eng ENG,DF,24-159,19.9,929,1113,83.5,13817,4639,553,605,91.4,299,345,86.7,48,88,54.5,0,0.9,-0.9,14,43,12,7,53,Matches
Raphaël Varane\9f8e9423,fr FRA,DF,29-009,19.3,930,1037,89.7,21413,5506,215,230,93.5,510,548,93.1,200,248,80.6,1,0.3,+0.7,4,64,0,0,40,Matches
Luke Shaw\9c94165b,eng ENG,DF,26-296,17.8,938,1172,80.0,15632,6022,497,547,90.9,333,396,84.1,92,180,51.1,3,3.2,-0.2,39,62,17,6,78,Matches
Diogo Dalot\d9565625,pt POR,DF,23-047,18.1,852,1055,80.8,16965,6192,337,386,87.3,385,445,86.5,126,204,61.8,0,1.0,-1.0,15,63,24,8,90,Matches
Alex Telles\e73c9bb2,br BRA,DF,29-140,16.4,785,1049,74.8,12654,5217,415,471,88.1,294,363,81.0,59,170,34.7,4,1.7,+2.3,25,42,15,6,54,Matches
Paul Pogba\867239d3,fr FRA,MFFW,29-050,15.0,738,879,84.0,14891,3918,302,345,87.5,281,315,89.2,134,171,78.4,9,3.5,+5.5,24,110,26,5,94,Matches
Mason Greenwood\58eee997,eng ENG,FWMF,20-215,14.1,397,504,78.8,7344,1629,185,214,86.4,164,195,84.1,43,75,57.3,1,1.6,-0.6,15,26,13,3,36,Matches
Nemanja Matić\eb7822d7,rs SRB,MF,33-276,14.9,851,977,87.1,16297,4529,345,391,88.2,367,404,90.8,120,143,83.9,4,1.6,+2.4,12,99,8,1,85,Matches
Marcus Rashford\a1d5bd30,eng ENG,FWMF,24-185,13.7,297,422,70.4,4190,851,185,236,78.4,84,121,69.4,15,33,45.5,2,2.0,0.0,9,18,11,3,26,Matches
Anthony Elanga\2fba6108,se SWE,FW,20-007,12.0,326,405,80.5,4352,1003,211,236,89.4,83,107,77.6,16,25,64.0,2,1.7,+0.3,7,12,5,3,12,Matches
Edinson Cavani\527f063d,uy URU,FW,35-079,7.0,147,186,79.0,2119,238,98,111,88.3,34,49,69.4,8,16,50.0,1,1.2,-0.2,5,3,1,0,5,Matches
Eric Bailly\a1232f4e,ci CIV,DF,28-022,2.4,64,80,80.0,1365,459,24,26,92.3,26,30,86.7,14,22,63.6,0,0.0,0.0,0,2,0,0,3,Matches
Jesse Lingard\810e3c74,eng ENG,FWMF,29-140,4.1,132,155,85.2,1872,481,74,79,93.7,40,49,81.6,8,13,61.5,0,0.4,-0.4,8,15,3,0,9,Matches
Anthony Martial\8b788c01,fr FRA,FW,26-150,2.4,66,85,77.6,984,236,36,45,80.0,28,33,84.8,2,4,50.0,0,0.1,-0.1,1,2,4,0,8,Matches
Phil Jones\def899bd,eng ENG,DF,30-072,1.8,71,79,89.9,1401,383,22,24,91.7,42,44,95.5,6,8,75.0,0,0.0,0.0,1,7,0,0,5,Matches
Daniel James\c931d9f9,wls WAL,FW,24-175,1.4,22,32,68.8,233,36,18,24,75.0,3,5,60.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,Matches
Juan Mata\29733c72,es ESP,MF,34-006,1.5,122,138,88.4,1866,363,73,78,93.6,31,37,83.8,12,16,75.0,0,0.0,0.0,0,11,3,1,6,Matches
Donny van de Beek\50dc94ce,nl NED,MF,25-016,0.8,25,32,78.1,385,184,14,18,77.8,8,10,80.0,2,2,100.0,0,0.5,-0.5,3,2,2,0,3,Matches
Hannibal Mejbri\ca22ccb0,tn TUN,FW,19-103,0.1,3,3,100.0,38,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Alejandro Garnacho\7aa8adfe,es ESP,FW,17-307,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.0,36.0,15568,18986,82.0,292591,88718,6788,7661,88.6,6367,7281,87.4,2102,3289,63.9,46,39.5,+6.5,383,1176,310,66,1239,
Opponent Total,,,27.7,36.0,14200,17683,80.3,271423,86361,5996,6701,89.5,6030,6947,86.8,1928,3343,57.7,39,35.9,+3.1,340,1006,291,64,1097,